abstractText,acquisitionStart,acquisitionEnd,catalogs,collectionName,collectionLongName,datasetId,datasetAlias,datasetCategoryName,dataOwner,dateUpdated,doiNumber,ingestFrequency,keywords,legacyId,sceneCount,spatialBounds,temporalCoverage,supportCloudCover,supportDeletionSearch,allowInKmz
,0021-09-16,,['HDDS'],200412_Tsunami_IndianOcean,200412_Tsunami_IndianOcean,5ee6c5227bc27b76,event1058,2004 Events,DMID,2020-04-07 18:02:02.614856-05,,P1D,"None,U.S. Geological Survey (USGS),Earth Resources Observation and Science (EROS) Center,Imagery,Image Map,ISO 19115 Topic Category,010,imageryBaseMapsEarthCover",,0,,,True,False,True
,0021-09-16,,['HDDS'],200508_Hurricane_Katrina,200508_Hurricane_Katrina,5ee6c523389b40c8,event741,2005 Events,DMID,2020-04-07 18:02:02.614856-05,,P1D,"None,U.S. Geological Survey (USGS),Earth Resources Observation and Science (EROS) Center,Imagery,Image Map,ISO 19115 Topic Category,010,imageryBaseMapsEarthCover",6650.0,1270103,"{'north': 31.936818, 'east': -87.896247, 'south': 28.73708, 'west': -90.834243}","[""1897-04-05 00:00:00-06"",""2020-06-30 00:00:00-05""]",True,False,True
,0021-09-16,,['HDDS'],2007_Greece_Fires,2007_Greece_Fires,5ee6c5247fc8d4ff,event19,2007 Events,DMID,2020-04-07 18:02:02.614856-05,,P1D,"None,U.S. Geological Survey (USGS),Earth Resources Observation and Science (EROS) Center,Imagery,Image Map,ISO 19115 Topic Category,010,imageryBaseMapsEarthCover",,0,,,True,False,True
,0021-09-16,,['HDDS'],2007_Hurricane_Felix,2007_Hurricane_Felix,5ee6c5254f2438ec,event20,2007 Events,DMID,2020-04-07 18:02:02.614856-05,,P1D,"None,U.S. Geological Survey (USGS),Earth Resources Observation and Science (EROS) Center,Imagery,Image Map,ISO 19115 Topic Category,010,imageryBaseMapsEarthCover",,0,,,True,False,True
,0021-09-16,,['HDDS'],2007_Hurricane_Humberto,2007_Hurricane_Humberto,5ee6c52638f2ddb5,event28,2007 Events,DMID,2020-04-07 18:02:02.614856-05,,P1D,"None,U.S. Geological Survey (USGS),Earth Resources Observation and Science (EROS) Center,Imagery,Image Map,ISO 19115 Topic Category,010,imageryBaseMapsEarthCover",6659.0,1270103,"{'north': 30.198194, 'east': -93.738972, 'south': 29.363314, 'west': -95.324206}","[""1897-04-05 00:00:00-06"",""2020-06-30 00:00:00-05""]",True,False,True
,0021-09-16,,['HDDS'],200804_Tornadoes_VA,200804_Tornadoes_VA,5ee6c52791303759,event148,2008 Events,DMID,2020-04-07 18:02:02.614856-05,,P1D,"None,U.S. Geological Survey (USGS),Earth Resources Observation and Science (EROS) Center,Imagery,Image Map,ISO 19115 Topic Category,010,imageryBaseMapsEarthCover",,0,,,True,False,True
,0021-09-16,,['HDDS'],200805_Cyclone_Nargis,200805_Cyclone_Nargis,5ee6c528fdb41fd,event137,2008 Events,DMID,2020-04-07 18:02:02.614856-05,,P1D,"None,U.S. Geological Survey (USGS),Earth Resources Observation and Science (EROS) Center,Imagery,Image Map,ISO 19115 Topic Category,010,imageryBaseMapsEarthCover",,0,,,True,False,True
,0021-09-16,,['HDDS'],200805_Earthquake_China,200805_Earthquake_China,5ee6c529ae73f6a,event161,2008 Events,DMID,2020-04-07 18:02:02.614856-05,,P1D,"None,U.S. Geological Survey (USGS),Earth Resources Observation and Science (EROS) Center,Imagery,Image Map,ISO 19115 Topic Category,010,imageryBaseMapsEarthCover",,0,,,True,False,True
,0021-09-16,,['HDDS'],200806_Fires_CA,200806_Fires_CA,5ee6c52a52f97b2c,event222,2008 Events,DMID,2020-04-07 18:02:02.614856-05,,P1D,"None,U.S. Geological Survey (USGS),Earth Resources Observation and Science (EROS) Center,Imagery,Image Map,ISO 19115 Topic Category,010,imageryBaseMapsEarthCover",,0,,,True,False,True
,0021-09-16,,['HDDS'],200806_Floods_Midwest,200806_Floods_Midwest,5ee6c52b9fa5d803,event207,2008 Events,DMID,2020-04-07 18:02:02.614856-05,,P1D,"None,U.S. Geological Survey (USGS),Earth Resources Observation and Science (EROS) Center,Imagery,Image Map,ISO 19115 Topic Category,010,imageryBaseMapsEarthCover",6674.0,1270103,"{'north': 43.20144, 'east': -91.148646, 'south': 41.146938, 'west': -93.776708}","[""1897-04-05 00:00:00-06"",""2020-06-30 00:00:00-05""]",True,False,True
,0021-09-16,,['HDDS'],200807_Hurricane_Dolly,200807_Hurricane_Dolly,5ee6c52c1563c7a7,event245,2008 Events,DMID,2020-04-07 18:02:02.614856-05,,P1D,"None,U.S. Geological Survey (USGS),Earth Resources Observation and Science (EROS) Center,Imagery,Image Map,ISO 19115 Topic Category,010,imageryBaseMapsEarthCover",,0,,,True,False,True
,0021-09-16,,['HDDS'],200808_Hurricane_Gustav,200808_Hurricane_Gustav,5ee6c52d764ee74f,event273,2008 Events,DMID,2020-04-07 18:02:02.614856-05,,P1D,"None,U.S. Geological Survey (USGS),Earth Resources Observation and Science (EROS) Center,Imagery,Image Map,ISO 19115 Topic Category,010,imageryBaseMapsEarthCover",,0,,,True,False,True
,0021-09-16,,['HDDS'],200808_Hurricane_Ike,200808_Hurricane_Ike,5ee6c52eed2b83d1,event303,2008 Events,DMID,2020-04-07 18:02:02.614856-05,,P1D,"None,U.S. Geological Survey (USGS),Earth Resources Observation and Science (EROS) Center,Imagery,Image Map,ISO 19115 Topic Category,010,imageryBaseMapsEarthCover",6683.0,1270103,"{'north': 30.4475, 'east': -93.614998, 'south': 28.708748, 'west': -95.91625}","[""1897-04-05 00:00:00-06"",""2020-06-30 00:00:00-05""]",True,False,True
,0021-09-16,,['HDDS'],200808_TropicalStorm_Fay,200808_TropicalStorm_Fay,5ee6c52f1a3bf800,event272,2008 Events,DMID,2020-04-07 18:02:02.614856-05,,P1D,"None,U.S. Geological Survey (USGS),Earth Resources Observation and Science (EROS) Center,Imagery,Image Map,ISO 19115 Topic Category,010,imageryBaseMapsEarthCover",,0,,,True,False,True
,0021-09-16,,['HDDS'],200901_Blizzard_KY,200901_Blizzard_KY,5ee6c5306f84d567,event326,2009 Events,DMID,2020-04-07 18:02:02.614856-05,,P1D,"None,U.S. Geological Survey (USGS),Earth Resources Observation and Science (EROS) Center,Imagery,Image Map,ISO 19115 Topic Category,010,imageryBaseMapsEarthCover",6620.0,1270103,"{'north': 37.9475, 'east': -87.458748, 'south': 36.489998, 'west': -88.76}","[""1897-04-05 00:00:00-06"",""2020-06-30 00:00:00-05""]",True,False,True
,0021-09-16,,['HDDS'],200901_Floods_WA,200901_Floods_WA,5ee6c531f47dd8e8,event314,2009 Events,DMID,2020-04-07 18:02:02.614856-05,,P1D,"None,U.S. Geological Survey (USGS),Earth Resources Observation and Science (EROS) Center,Imagery,Image Map,ISO 19115 Topic Category,010,imageryBaseMapsEarthCover",,0,,,True,False,True
,0021-09-16,,['HDDS'],200902_Fires_Australia,200902_Fires_Australia,5ee6c532119d05c8,event328,2009 Events,DMID,2020-04-07 18:02:02.614856-05,,P1D,"None,U.S. Geological Survey (USGS),Earth Resources Observation and Science (EROS) Center,Imagery,Image Map,ISO 19115 Topic Category,010,imageryBaseMapsEarthCover",,0,,,True,False,True
,0021-09-16,,['HDDS'],200902_Tornado_OK,200902_Tornado_OK,5ee6c533ac1108d3,event325,2009 Events,DMID,2020-04-07 18:02:02.614856-05,,P1D,"None,U.S. Geological Survey (USGS),Earth Resources Observation and Science (EROS) Center,Imagery,Image Map,ISO 19115 Topic Category,010,imageryBaseMapsEarthCover",,0,,,True,False,True
,0021-09-16,,['HDDS'],200902_Volcano_Mt_Redoubt,200902_Volcano_Mt_Redoubt,5ee6c53487eab2de,event323,2009 Events,DMID,2020-04-07 18:02:02.614856-05,,P1D,"None,U.S. Geological Survey (USGS),Earth Resources Observation and Science (EROS) Center,Imagery,Image Map,ISO 19115 Topic Category,010,imageryBaseMapsEarthCover",6632.0,1270103,"{'north': 61.129369929, 'east': -149.989804456, 'south': 58.980192094, 'west': -154.929165132}","[""1897-04-05 00:00:00-06"",""2020-06-30 00:00:00-05""]",True,False,True
,0021-09-16,,['HDDS'],200903_Floods_Indiana_,200903_Floods_Indiana_,5ee6c5357634d944,event330,2009 Events,DMID,2020-04-07 18:02:02.614856-05,,P1D,"None,U.S. Geological Survey (USGS),Earth Resources Observation and Science (EROS) Center,Imagery,Image Map,ISO 19115 Topic Category,010,imageryBaseMapsEarthCover",,0,,,True,False,True
